"","Animal","Treatment","MMP1","MMP2","MMP3","CTXII","KC","MNO"
"110",110,0,1500,26647,151.13,335.253,1444,0.031
"111",111,0,322.59,32391,137.18,381.433,262.77,0.138
"112",112,0,918.23,66864,154.99,357.471,1632,0.032
"113",113,0,93.78,14007,100.07,327.288,124.78,0.029
"114",114,0,1331,78638,135.21,304.936,544.24,0.035
"115",115,0,780.94,26154,101.75,366.189,444.7,0.053
"116",116,0,398.69,20887,127.5,329.335,762.37,0.045
"117",117,0,1228,44197,158.28,341.627,1712,0.062
"118",118,0,1227,23593,136.25,312.101,381.41,0.033
"119",119,0,132.74,26692,99.4,312.246,70.52,0.026
"120",120,0,595.48,40315,114.16,304.747,287.11,0.024
"121",121,5,136.21,5341,119.84,338.687,568.53,0.026
"122",122,5,63.2,6081,96.71,351.485,159.52,0.027
"123",123,5,55.23,1056,104.11,361.386,94.91,0.037
"124",124,5,284.13,9300,125.21,342.812,554.48,0.035
"125",125,5,108.88,11269,88.7,307.543,65.14,0.024
"126",126,5,53.51,9741,85.16,291.4,81.3,0.047
"127",127,5,890.56,47077,120.18,360.401,504.99,0.092
"128",128,5,488.97,12053,110.19,319.743,77.58,0.023
"129",129,5,625.59,16715,104.56,349.262,203.42,0.024
"130",130,5,171.46,18767,104.78,306.735,272.81,0.037
"131",131,5,206.93,32973,102.76,416.37,82.92,0.196
"132",132,5,1390,66946,153.24,306.878,1673,0.031
"133",133,50,1074,23523,125.21,390.011,918.3,0.048
"134",134,50,149.39,10636,122.92,352.268,107.75,0.027
"135",135,50,887.15,75507,151.83,305.882,703.25,0.031
"136",136,50,1223,53184,126.82,344.763,966.71,0.138
"137",137,50,176.56,29718,124.52,283.089,266.15,0.029
"138",138,50,1079,18392,119.05,312.101,769.07,0.038
"139",139,50,46.36,12922,91.92,371.026,94.68,0.034
"140",140,50,1629,41927,157.69,358.673,757.16,0.048
"141",141,50,1060,14369,139.95,325.915,455.64,0.032
"142",142,50,1516,78755,147.63,310.27,1426,0.3
"143",143,50,1653,92895,147.63,339.432,889.44,0.065
"144",144,50,1178,98371,142.27,349.982,1122,0.031
